648864,7537106,477,4.77
648869,7537206,430,4.3
648824,7536409,276,2.76
648818,7536308,333,3.33
648812,7536207,258,2.58
648807,7536108,303,3.03
648801,7536008,248,2.48
648795,7535909,223,2.23
648790,7535809,277,2.77
648729,7536512,352,3.52
648735,7536613,457,4.57
648741,7536713,321,3.21
648747,7536813,303,3.03
648753,7536913,247,2.47
648759,7537012,375,3.75
648764,7537112,388,3.88
648770,7537212,500,5
648776,7537311,482,4.82
648724,7536413,356,3.56
648718,7536314,195,1.95
648712,7536213,238,2.38
648707,7536113,218,2.18
648701,7536013,277,2.77
648695,7535914,180,1.8
648690,7535814,310,3.1
648636,7536618,524,5.24
648647,7536819,346,3.46
648653,7536919,305,3.05
648659,7537018,365,3.65
648665,7537118,317,3.17
648670,7537218,348,3.48
648676,7537318,356,3.56
648682,7537417,540,5.4
648625,7536418,526,5.26
648618,7536318,225,2.25
648612,7536219,345,3.45
648607,7536119,571,5.71
648601,7536020,207,2.07
648595,7535920,385,3.85
648530,7536525,427,4.27
648553,7536923,377,3.77
648559,7537023,374,3.74
648565,7537122,517,5.17
648570,7537223,395,3.95
648576,7537323,393,3.93
648582,7537423,379,3.79
648525,7536424,297,2.97
648519,7536325,370,3.7
648513,7536225,552,5.52
648508,7536125,84,0.84
648502,7536026,332,3.32
648487,7537528,475,4.75
648453,7536930,390,3.9
648459,7537029,565,5.65
648464,7537128,400,4
648470,7537229,521,5.21
648476,7537329,490,4.9
648482,7537428,494,4.94
648419,7536331,518,5.18
648413,7536230,345,3.45
648407,7536131,432,4.32
648402,7536031,205,2.05
648396,7535931,188,1.88
648390,7535830,306,3.06
648336,7536636,833,8.33
648388,7537533,696,6.96
648342,7536736,671,6.71
648347,7536836,577,5.77
648353,7536935,418,4.18
648359,7537035,437,4.37
648364,7537135,466,4.66
648370,7537235,481,4.81
648376,7537334,476,4.76
648382,7537435,443,4.43
648313,7536235,150,1.5
648307,7536136,310,3.1
648302,7536037,192,1.92
648296,7535937,160,1.6
648243,7536741,778,7.78
648248,7536841,609,6.09
648254,7536941,690,6.9
648260,7537040,988,9.88
648265,7537140,785,7.85
648271,7537241,527,5.27
648277,7537340,511,5.11
